ID_GiaoDich,NgayGiaoDich,ID_SanPham,TenSanPham,ID_KhachHang,KenhBanHang,KhuVuc,SoLuong,GiaBan,DoanhThu,ChietKhau,Thue,ThanhTien,HinhThucThanhToan,LoaiKhachHang,NhanVienBanHang,ThoiTiet,NhietDo,ChiPhi
38,2024-03-14 06:12:35,2,Coca-Cola,47,Cửa hàng,Quảng Ninh,3,40973.22,122919.66,0.0,12.291.966.000.000.000,13.521.162.600.000.000,Chuyển khoản,Thường xuyên,David,Âm u,27,21896.62
39,2024-06-20 18:01:11,6,Sting,10,Cửa hàng,Khánh Hòa,6,24497.58,146985.48,0.0,14.698.548.000.000.000,16.168.402.800.000.000,Chuyển khoản,Thường xuyên,Bob,Âm u,27,95156.4
40,2024-06-20 18:01:11,6,Sting,10,Cửa hàng,Khánh Hòa,6,24497.58,146985.48,0.0,14.698.548.000.000.000,16.168.402.800.000.000,Chuyển khoản,Thường xuyên,Bob,Âm u,27,95156.4
41,2023-12-02 19:53:57,6,7 Up,47,Cửa hàng,Hà Nội,4,33842.69,135370.76,0.1,13.537.076,135370.76,Thẻ,Thường xuyên,Alice,Nắng,23,26753.4
42,2024-02-26 12:38:45,9,Pepsi,23,Siêu thị,Bình Dương,8,37353.42,298827.36,0.1,29.882.736,298827.36,Chuyển khoản,VIP,David,Âm u,22,148260.66
43,2024-01-20 14:14:30,5,Mirinda,6,Cửa hàng,Long An,3,22858.29,68574.87,0.1,6.857.487.000.000.000,68574.87,Chuyển khoản,Mới,David,Nắng,28,8744.04
44,2023-09-07 00:16:21,2,Mirinda,11,Siêu thị,Bình Dương,6,18380.03,110280.18,0.0,11.028.018,121.308.198,Thẻ,Mới,Carol,Âm u,24,91252.03
45,2024-02-26 12:38:45,9,Pepsi,23,Siêu thị,Bình Dương,8,37353.42,298827.36,0.1,29.882.736,298827.36,Chuyển khoản,VIP,David,Âm u,22,148260.66
46,2024-05-23 16:03:26,9,Revive,27,Siêu thị,Đà Nẵng,8,13349.46,106795.68,0.0,10.679.568,117.475.248,Chuyển khoản,Thường xuyên,Alice,Nắng,32,67283.18
47,2024-06-04 22:04:59,10,Strongbow,31,Siêu thị,Cần Thơ,4,28841.98,115367.92,0.0,11.536.792,126.904.712,Chuyển khoản,VIP,Alice,Âm u,28,40305.96
48,2024-05-26 09:50:15,4,7 Up,30,Online,Nam Định,5,26249.74,131248.7,0.05,13124.87,137.811.135,Tiền mặt,VIP,David,Nắng,26,67731.47
49,2024-04-24 00:21:36,6,Coca-Cola,3,Siêu thị,Hà Nội,6,10101.59,60609.54,0.05,6.060.954.000.000.000,63.640.017,Thẻ,VIP,Bob,Nắng,22,32569.64
50,2024-04-24 00:21:36,6,Coca-Cola,3,Siêu thị,Hà Nội,6,10101.59,60609.54,0.05,6.060.954.000.000.000,63.640.017,Thẻ,VIP,Bob,Nắng,22,32569.64
51,2024-05-01 19:36:42,8,C2,40,Siêu thị,Nghệ An,9,37275.45,335479.05,0.1,33.547.905,33.547.905.000.000.000,Thẻ,Thường xuyên,Carol,Âm u,27,293768.17
52,2023-08-09 06:07:26,9,Strongbow,21,Siêu thị,Cần Thơ,3,27870.09,83610.27,0.0,8.361.027.000.000.000,91.971.297,Tiền mặt,Mới,Bob,Mưa,24,60208.28
53,2024-05-25 15:24:28,5,Number 1,43,Cửa hàng,Hải Phòng,2,48681.82,97363.64,0.0,9.736.364,107.100.004,Thẻ,Thường xuyên,Emma,Âm u,21,82914.79
54,2024-03-23 06:25:36,6,Revive,11,Cửa hàng,TP. Hồ Chí Minh,7,47622.6,333358.2,0.1,33335.82,333358.2,Thẻ,Mới,Emma,Nắng,27,271974.25
55,2023-11-13 06:33:34,4,Coca-Cola,45,Siêu thị,Cần Thơ,4,13803.97,55215.88,0.1,5.521.588,55.215.880.000.000.000,Tiền mặt,VIP,David,Âm u,30,31932.45
56,2024-04-05 11:25:29,5,C2,3,Siêu thị,Bình Định,4,34606.18,138424.72,0.1,13.842.472.000.000.000,138424.72,Chuyển khoản,Thường xuyên,Carol,Nắng,21,115930.62
57,2024-04-05 11:25:29,5,C2,3,Siêu thị,Bình Định,4,34606.18,138424.72,0.1,13.842.472.000.000.000,138424.72,Chuyển khoản,Thường xuyên,Carol,Nắng,21,115930.62
58,2024-02-28 03:48:00,9,Coca-Cola,31,Siêu thị,Khánh Hòa,9,16918.25,152264.25,0.1,15.226.425,152264.25,Chuyển khoản,Mới,Bob,Mưa,20,39099.37
59,2024-02-27 19:11:15,10,Revive,24,Siêu thị,Đồng Nai,7,15118.61,105830.27,0.0,10.583.027.000.000.000,116.413.297,Tiền mặt,Thường xuyên,Carol,Mưa,24,14412.16
60,2023-08-17 14:45:57,6,Number 1,42,Siêu thị,Đồng Nai,9,20391.37,183522.33,0.05,18.352.233,1.926.984.465,Tiền mặt,Mới,Emma,Âm u,24,66116.54
61,2024-01-09 20:24:41,6,Pepsi,12,Cửa hàng,Đồng Nai,1,21187.13,21187.13,0.0,2.118.713,23.305.843,Chuyển khoản,VIP,Emma,Âm u,20,8706.68
62,2023-11-15 21:05:21,8,Strongbow,46,Siêu thị,Thái Bình,3,48600.35,145801.05,0.1,14.580.105,145801.05,Tiền mặt,Mới,Bob,Nắng,25,46230.48
63,2023-07-26 09:31:29,4,Oolong Tea Plus,43,Siêu thị,Quảng Ninh,10,41219.87,412198.7,0.05,41219.87,432.808.635,Chuyển khoản,VIP,David,Mưa,26,314503.49
64,2023-07-26 09:31:29,4,Oolong Tea Plus,43,Siêu thị,Quảng Ninh,10,41219.87,412198.7,0.05,41219.87,432.808.635,Chuyển khoản,VIP,David,Mưa,26,314503.49
65,2024-02-09 17:51:21,7,Revive,21,Cửa hàng,TP. Hồ Chí Minh,6,41460.04,248760.24,0.05,24.876.024.000.000.000,261.198.252,Tiền mặt,Thường xuyên,David,Nắng,30,80784.29
66,2024-02-20 09:24:59,5,C2,25,Online,Đồng Nai,1,16785.75,16785.75,0.0,1.678.575,18.464.325,Chuyển khoản,VIP,David,Mưa,33,8966.22
67,2024-02-20 09:24:59,5,C2,25,Online,Đồng Nai,1,16785.75,16785.75,0.0,1.678.575,18.464.325,Chuyển khoản,VIP,David,Mưa,33,8966.22
68,2023-11-18 06:56:06,2,Pepsi,30,Online,Đồng Nai,4,22741.1,90964.4,0.1,9096.44,90964.4,Tiền mặt,Thường xuyên,Carol,Mưa,28,67473.53
69,2024-01-03 04:45:07,6,Pepsi,10,Siêu thị,Cần Thơ,4,20895.54,83582.16,0.1,8.358.216,83582.16,Chuyển khoản,Mới,Emma,Nắng,31,13343.1
70,2024-03-06 13:32:14,8,Revive,3,Siêu thị,Bà Rịa - Vũng Tàu,7,22350.63,156454.41,0.05,15.645.441.000.000.000,1.642.771.305,Chuyển khoản,Mới,Carol,Mưa,21,139167.69
71,2023-08-09 08:03:15,1,Number 1,13,Cửa hàng,Ninh Bình,5,40168.82,200844.1,0.0,20084.41,220928.51,Chuyển khoản,VIP,Alice,Âm u,27,144165.05
71,2023-08-09 08:03:15,1,Number 1,13,Cửa hàng,Ninh Bình,5,40168.82,200844.1,0.0,20084.41,220928.51,Chuyển khoản,VIP,Alice,Âm u,27,144165.05
72,2023-12-05 00:53:40,6,Revive,27,Online,Nghệ An,7,20662.42,144636.94,0.1,14.463.694,144636.94,Chuyển khoản,Thường xuyên,Alice,Âm u,34,37457.0
73,2024-03-17 11:01:51,2,Sting,18,Siêu thị,Huế,1,42029.76,42029.76,0.05,4.202.976.000.000.000,4.413.124.800.000.000,Tiền mặt,Mới,David,Âm u,28,4388.65
74,2023-12-12 10:47:34,2,Mirinda,45,Online,Khánh Hòa,9,13640.77,122766.93,0.05,12.276.693,1.289.052.765,Chuyển khoản,VIP,Carol,Âm u,23,92366.05
75,2023-09-21 11:36:26,7,Oolong Tea Plus,24,Cửa hàng,Ninh Bình,8,33807.39,270459.12,0.1,27.045.912,270459.12,Chuyển khoản,Thường xuyên,Emma,Âm u,26,179986.72
76,2023-12-09 01:31:17,10,Revive,46,Siêu thị,Long An,7,44520.9,311646.3,0.0,31.164.630.000.000.000,342810.93,Chuyển khoản,Mới,Bob,Mưa,24,212918.54
77,2023-07-31 02:05:28,1,Pepsi,14,Cửa hàng,Huế,10,13171.97,13.171.969.999.999.900,0.05,13171.97,13.830.568.499.999.900,Thẻ,VIP,David,Âm u,20,94445.17
78,2023-08-26 12:38:19,6,Number 1,39,Online,Huế,2,35396.14,70792.28,0.05,7.079.228,74.331.894,Tiền mặt,Thường xuyên,Carol,Mưa,29,11272.66
79,2023-11-13 02:58:17,7,Oolong Tea Plus,44,Online,Nam Định,6,30465.18,182791.08,0.1,18.279.108.000.000.000,182791.08,Thẻ,VIP,David,Mưa,27,70698.58
80,2024-05-16 05:30:39,8,7 Up,4,Online,Cần Thơ,4,23277.98,93111.92,0.1,9.311.192,93111.92,Chuyển khoản,Thường xuyên,Alice,Âm u,21,17942.22
81,2024-03-31 22:47:55,7,Coca-Cola,16,Siêu thị,Cần Thơ,3,14027.08,42081.24,0.1,4.208.124.000.000.000,42081.24,Tiền mặt,VIP,Bob,Âm u,22,33264.49
82,2024-03-31 22:47:55,7,Coca-Cola,16,Siêu thị,Cần Thơ,3,14027.08,42081.24,0.1,4.208.124.000.000.000,42081.24,Tiền mặt,VIP,Bob,Âm u,22,33264.49
83,2023-12-19 12:37:41,9,7 Up,48,Siêu thị,Khánh Hòa,4,22375.43,89501.72,0.05,8.950.172,93.976.806,Thẻ,VIP,David,Nắng,26,32642.93
84,2024-02-15 07:07:09,3,Number 1,37,Cửa hàng,Bà Rịa - Vũng Tàu,3,23557.1,7.067.129.999.999.990,0.05,7.067.130.000.000.000,7.420.486.499.999.990,Tiền mặt,Thường xuyên,Emma,Âm u,24,10660.53
85,2024-03-04 20:53:33,6,Pepsi,27,Online,Bà Rịa - Vũng Tàu,5,38704.43,193522.15,0.05,19.352.215,2.031.982.575,Chuyển khoản,Thường xuyên,Carol,Nắng,29,67497.79
86,2024-03-04 20:53:33,6,Pepsi,27,Online,Bà Rịa - Vũng Tàu,5,38704.43,193522.15,0.05,19.352.215,2.031.982.575,Chuyển khoản,Thường xuyên,Carol,Nắng,29,67497.79
87,2024-03-22 06:48:45,2,Pepsi,1,Online,Hà Nội,10,23345.83,233458.3,0.05,23345.83,24.513.121.500.000.000,Thẻ,Mới,Emma,Âm u,21,159611.92
88,2023-07-12 13:53:56,1,Number 1,5,Cửa hàng,Nghệ An,3,39870.07,119610.21,0.1,11.961.021.000.000.000,119610.21,Tiền mặt,Thường xuyên,Carol,Âm u,20,72967.73
89,2023-08-19 22:08:22,1,Pepsi,13,Siêu thị,Long An,9,48265.32,434387.88,0.05,43.438.788,456.107.274,Thẻ,VIP,Bob,Nắng,22,351754.36
90,2023-08-19 22:08:22,1,Pepsi,13,Siêu thị,Long An,9,48265.32,434387.88,0.05,43.438.788,456.107.274,Thẻ,VIP,Bob,Nắng,22,351754.36
91,2023-10-01 16:59:29,3,C2,3,Online,Huế,10,31168.61,311686.1,0.1,31168.61,311686.1,Thẻ,VIP,David,Mưa,28,60989.3
92,2024-02-15 05:27:31,4,7 Up,17,Online,Bình Định,4,10446.58,41786.32,0.1,41.786.320.000.000.000,41786.32,Tiền mặt,Mới,David,Mưa,32,28021.73
93,2023-10-16 19:12:57,2,Mirinda,19,Cửa hàng,Hải Phòng,2,43007.95,86015.9,0.1,8601.59,86015.9,Tiền mặt,VIP,Bob,Nắng,28,60953.28
94,2024-02-19 09:12:01,1,C2,37,Siêu thị,TP. Hồ Chí Minh,8,21475.91,171807.28,0.0,17.180.728,188.988.008,Tiền mặt,VIP,Carol,Mưa,24,94325.93
95,2024-02-19 09:12:01,1,C2,37,Siêu thị,TP. Hồ Chí Minh,8,21475.91,171807.28,0.0,17.180.728,188.988.008,Tiền mặt,VIP,Carol,Mưa,24,94325.93
96,2024-03-03 05:45:31,7,Oolong Tea Plus,47,Online,Nam Định,3,37492.16,112476.48,0.05,11.247.648.000.000.000,11.810.030.400.000.000,Chuyển khoản,VIP,David,Mưa,32,55679.96
97,2024-01-31 17:30:13,10,Sting,42,Cửa hàng,Đồng Nai,3,41567.98,124703.94,0.1,12.470.394.000.000.000,124703.94,Chuyển khoản,Thường xuyên,Emma,Mưa,22,64619.87
98,2023-08-13 16:51:02,6,7 Up,44,Siêu thị,Bình Định,1,26000.01,26000.01,0.0,2.600.001,28.600.011,Chuyển khoản,VIP,Carol,Âm u,26,11492.86
99,2024-05-14 01:00:22,6,Number 1,24,Cửa hàng,Hà Nội,8,36621.47,292971.76,0.1,29.297.176.000.000.000,292971.76,Tiền mặt,VIP,Emma,Nắng,31,35254.85
100,2023-11-13 10:37:19,9,7 Up,43,Online,Thái Bình,5,48255.13,241275.65,0.05,24.127.565,2.533.394.325,Thẻ,Thường xuyên,Carol,Mưa,26,44952.82
101,2023-11-13 10:37:19,9,7 Up,43,Online,Thái Bình,5,48255.13,241275.65,0.05,24.127.565,2.533.394.325,Thẻ,Thường xuyên,Carol,Mưa,26,44952.82
102,2023-08-11 18:09:50,4,Strongbow,21,Online,TP. Hồ Chí Minh,4,38052.47,152209.88,0.0,15.220.988,16.743.086.800.000.000,Chuyển khoản,VIP,Emma,Âm u,22,92715.35
103,2024-03-24 09:17:07,5,Revive,3,Online,Đà Nẵng,5,47723.5,238617.5,0.05,23861.75,250.548.375,Chuyển khoản,Thường xuyên,Emma,Âm u,29,83870.42
104,2024-05-10 21:16:00,1,C2,4,Siêu thị,Đà Nẵng,5,45038.4,225192.0,0.1,22519.2,225192.0,Tiền mặt,VIP,Bob,Mưa,26,114140.04
105,2023-07-21 02:11:33,8,Pepsi,32,Online,Hà Nội,9,39161.09,35.244.980.999.999.900,0.0,35.244.981,387.694.791,Tiền mặt,Thường xuyên,Carol,Mưa,34,291142.29
106,2023-07-21 02:11:33,8,Pepsi,32,Online,Hà Nội,9,39161.09,35.244.980.999.999.900,0.0,35.244.981,387.694.791,Tiền mặt,Thường xuyên,Carol,Mưa,34,291142.29
107,2023-08-17 09:33:32,6,Oolong Tea Plus,35,Siêu thị,Bình Dương,9,42696.44,384267.96,0.0,38.426.796,42.269.475.600.000.000,Tiền mặt,Thường xuyên,Bob,Âm u,22,164584.4
108,2024-04-25 23:21:11,5,Coca-Cola,18,Cửa hàng,Quảng Ninh,8,30090.67,240725.36,0.0,24.072.536,264.797.896,Chuyển khoản,Thường xuyên,Bob,Âm u,24,169576.79
109,2024-03-20 13:49:56,8,Coca-Cola,3,Online,Đà Nẵng,3,30091.78,90275.34,0.05,9.027.534,94.789.107,Chuyển khoản,VIP,Alice,Âm u,31,25551.4
110,2024-04-18 23:25:29,3,Sting,39,Siêu thị,Quảng Nam,2,10351.64,20703.28,0.0,2.070.328,22.773.608,Tiền mặt,Mới,David,Mưa,33,3345.32
111,2023-08-09 17:33:58,3,Mirinda,26,Cửa hàng,Bình Dương,6,11210.02,67260.12,0.1,67.260.120.000.000.000,67260.12,Tiền mặt,Thường xuyên,Alice,Âm u,31,22316.99
112,2024-04-18 23:25:29,3,Sting,39,Siêu thị,Quảng Nam,2,10351.64,20703.28,0.0,2.070.328,22.773.608,Tiền mặt,Mới,David,Mưa,33,3345.32
113,2023-08-09 17:33:58,3,Mirinda,26,Cửa hàng,Bình Dương,6,11210.02,67260.12,0.1,67.260.120.000.000.000,67260.12,Tiền mặt,Thường xuyên,Alice,Âm u,31,22316.99
114,2024-03-23 11:17:05,3,Pepsi,50,Online,Long An,3,40439.09,121317.27,0.05,12.131.727,12.738.313.349.999.900,Thẻ,VIP,David,Nắng,29,90562.89
115,2024-02-09 01:44:16,3,Coca-Cola,34,Cửa hàng,Cần Thơ,1,47987.46,47987.46,0.1,4.798.746,47987.46,Chuyển khoản,VIP,Emma,Nắng,30,29115.1
116,2024-04-06 10:26:27,6,Coca-Cola,12,Siêu thị,Hải Phòng,5,28101.68,140508.4,0.1,14050.84,140508.4,Tiền mặt,VIP,Bob,Mưa,32,112008.87
117,2024-01-06 01:25:39,8,Oolong Tea Plus,17,Online,TP. Hồ Chí Minh,8,13537.91,108303.28,0.1,10.830.328,108303.28,Tiền mặt,Thường xuyên,David,Âm u,32,80462.59
118,2023-11-13 18:35:48,2,Strongbow,21,Cửa hàng,Khánh Hòa,9,35063.0,315567.0,0.1,31556.7,315567.0,Tiền mặt,Mới,Bob,Mưa,27,78656.98
119,2023-07-24 07:22:40,4,Strongbow,21,Cửa hàng,TP. Hồ Chí Minh,7,13989.45,97926.15,0.0,9.792.615.000.000.000,107.718.765,Thẻ,VIP,Carol,Mưa,26,79716.51
120,2024-07-01 21:27:16,7,Strongbow,3,Siêu thị,Khánh Hòa,5,34852.74,17.426.369.999.999.900,0.0,17426.37,191690.07,Thẻ,Mới,David,Mưa,20,92616.59
121,2024-03-29 23:45:42,1,Pepsi,44,Siêu thị,Huế,8,31110.08,248880.64,0.0,24.888.064,273.768.704,Tiền mặt,VIP,Carol,Âm u,21,185653.04
122,2023-09-07 07:20:36,1,C2,28,Cửa hàng,Đà Nẵng,9,38489.4,34.640.460.000.000.000,0.1,34640.46,34.640.460.000.000.000,Chuyển khoản,Thường xuyên,David,Mưa,31,282968.58
123,2024-02-05 02:41:28,10,C2,25,Siêu thị,Ninh Bình,9,24038.73,216348.57,0.1,21.634.857,216348.57,Chuyển khoản,VIP,Carol,Mưa,25,76674.53
124,2024-02-05 02:41:28,10,C2,25,Siêu thị,Ninh Bình,9,24038.73,216348.57,0.1,21.634.857,216348.57,Chuyển khoản,VIP,Carol,Mưa,25,76674.53
125,2023-11-11 07:14:38,7,Sting,6,Cửa hàng,Bình Dương,2,19448.66,38897.32,0.0,3.889.732,42.787.052,Chuyển khoản,Mới,David,Âm u,32,10982.59
126,2023-09-23 07:32:48,1,Pepsi,42,Siêu thị,Khánh Hòa,3,37346.06,112038.18,0.0,11.203.818,123.241.998,Tiền mặt,VIP,Carol,Nắng,27,49485.72
127,2024-06-02 12:05:03,1,Revive,30,Siêu thị,Ninh Bình,2,29127.1,58254.2,0.1,5825.42,58254.2,Thẻ,VIP,David,Nắng,24,43947.66
128,2024-02-06 00:36:40,4,Number 1,32,Siêu thị,Quảng Ninh,5,31633.24,158166.2,0.1,15816.62,158166.2,Chuyển khoản,VIP,Emma,Âm u,26,124727.41
129,2023-12-25 14:32:35,5,Revive,22,Siêu thị,Quảng Ninh,3,22920.26,68760.78,0.0,6.876.078,75.636.858,Tiền mặt,VIP,Emma,Mưa,29,7258.51
130,2024-02-14 10:25:35,5,Sting,38,Cửa hàng,Hà Nội,9,43468.92,391220.28,0.1,39.122.028,391220.28,Tiền mặt,Thường xuyên,Carol,Nắng,34,198973.79
131,2024-04-08 22:32:15,4,Sting,14,Siêu thị,Bình Dương,2,49979.2,99958.4,0.0,9995.84,109954.24,Chuyển khoản,Mới,Emma,Âm u,26,43374.83
132,2024-05-15 23:35:50,8,Pepsi,34,Online,Thái Bình,5,22488.56,112442.8,0.0,11244.28,123687.08,Chuyển khoản,VIP,Carol,Nắng,22,31223.82
133,2024-05-15 23:35:50,8,Pepsi,34,Online,Thái Bình,5,22488.56,112442.8,0.0,11244.28,123687.08,Chuyển khoản,VIP,Carol,Nắng,22,31223.82
134,2023-12-31 21:43:38,9,Mirinda,47,Cửa hàng,Quảng Ninh,5,16844.18,84220.9,0.1,8422.09,84220.9,Thẻ,Mới,Bob,Âm u,25,31169.49
135,2024-01-10 23:14:48,7,Oolong Tea Plus,26,Cửa hàng,Hà Nội,1,39698.02,39698.02,0.1,3.969.802,3.969.801.999.999.990,Chuyển khoản,Mới,Bob,Mưa,24,33915.12
136,2023-07-29 12:54:55,10,Revive,40,Online,Long An,10,27234.49,272344.9,0.05,27234.49,285.962.145,Chuyển khoản,Mới,David,Nắng,28,97652.63
137,2023-11-07 22:59:06,1,C2,13,Online,Huế,7,34212.83,239489.81,0.05,23.948.981.000.000.000,2.514.643.005,Tiền mặt,VIP,Carol,Nắng,31,123345.03
138,2023-09-02 18:17:30,7,Mirinda,30,Cửa hàng,Bà Rịa - Vũng Tàu,2,19502.66,39005.32,0.1,3.900.532,39005.32,Thẻ,VIP,Emma,Âm u,20,25837.72
139,2024-04-15 01:32:40,1,Strongbow,19,Online,Quảng Nam,2,44067.12,88134.24,0.05,8.813.424,92.540.952,Tiền mặt,VIP,David,Âm u,34,34452.0
